kaggle_ref,filename,public_f1,private_f1
54810114,submission_v25_stream2_plus_stream4_payload.csv,0.96749,0.97611
54810130,submission_v26_stream_payload_plus_connect.csv,0.96749,0.97578
54810019,submission_v23_context_plus_novelty.csv,0.96598,0.97541
