kaggle_ref,filename,public_f1,private_f1
54810185,submission_v27_stream3_5_payload.csv,0.96824,0.97748
54810175,submission_v29_all_high_fraction_payload.csv,0.96348,0.97329
54810114,submission_v25_stream2_plus_stream4_payload.csv,0.96749,0.97611
