kaggle_ref,filename,public_f1,private_f1
54809842,submission_v12_plus_rare_ack.csv,0.96304,0.973
54809776,submission_v11_pareto_plus_payload150.csv,0.96304,0.97266
54809544,submission_v10_pareto_plus_exact_twin.csv,0.96304,0.97232
